"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2023-12-12","BPN","Sepinggan",5660,5636,24,5614,5614,0,45,6,44,6
"2023-12-13","BPN","Sepinggan",8060,7897,163,6865,6778,87,59,2,58,2
"2023-12-14","BPN","Sepinggan",7359,7359,0,6941,6941,0,60,2,62,1
"2023-12-15","BPN","Sepinggan",8187,8028,159,7054,6897,157,67,2,61,2
"2023-12-16","BPN","Sepinggan",7762,7762,0,7224,7224,0,65,1,67,2
"2023-12-17","BPN","Sepinggan",8262,8089,173,7801,7668,133,63,2,65,2
"2023-12-18","BPN","Sepinggan",0,0,0,0,0,0,34,2,33,2
"2023-12-19","BPN","Sepinggan",5734,5734,0,5129,5129,0,70,1,67,3
"2023-12-20","BPN","Sepinggan",9320,8985,335,7604,7359,245,77,3,73,5
"2023-12-21","BPN","Sepinggan",8716,8709,7,7009,7009,0,70,2,69,4
"2023-12-22","BPN","Sepinggan",9375,9375,0,6935,6928,7,72,3,72,3
"2023-12-23","BPN","Sepinggan",9599,9597,2,7782,7777,5,73,3,70,5
"2023-12-24","BPN","Sepinggan",7570,7397,173,6059,5916,143,57,3,59,2
"2023-12-25","BPN","Sepinggan",6668,6475,193,5808,5710,98,50,2,49,4
"2023-12-26","BPN","Sepinggan",6838,6838,0,6597,6597,0,55,0,54,2
"2023-12-27","BPN","Sepinggan",6459,6156,303,6494,6233,261,57,3,59,3
"2023-12-28","BPN","Sepinggan",6077,6077,0,6155,6155,0,62,1,62,1
"2023-12-29","BPN","Sepinggan",6135,5972,163,5723,5560,163,55,2,53,2
"2023-12-30","BPN","Sepinggan",5928,5928,0,5895,5887,8,64,3,61,2
"2023-12-31","BPN","Sepinggan",4530,4379,151,5203,5086,117,44,1,46,1
"2024-01-01","BPN","Sepinggan",4960,4793,167,6568,6461,107,50,1,51,1
"2024-01-02","BPN","Sepinggan",6053,6045,8,7939,7939,0,66,2,64,4
"2024-01-03","BPN","Sepinggan",5984,5682,302,8187,7833,354,61,3,58,4
"2024-01-04","BPN","Sepinggan",5564,5564,0,6920,6920,0,59,1,61,1
"2024-01-05","BPN","Sepinggan",5748,5598,150,4320,4146,174,73,2,71,2
"2024-01-06","BPN","Sepinggan",4131,4131,0,5777,5777,0,59,0,59,1
"2024-01-07","BPN","Sepinggan",6108,5982,126,8328,8173,155,62,2,63,1
"2024-01-08","BPN","Sepinggan",4564,4382,182,5939,5791,148,65,4,65,5
"2024-01-09","BPN","Sepinggan",3909,3909,0,3226,3226,0,43,1,42,1
"2024-01-10","BPN","Sepinggan",6243,5916,327,7221,6930,291,59,4,58,4
"2024-01-11","BPN","Sepinggan",5746,5743,3,6572,6568,4,54,2,52,3
"2024-01-12","BPN","Sepinggan",6227,6076,151,4431,4261,170,63,3,62,1
"2024-01-13","BPN","Sepinggan",5137,5137,0,3461,3461,0,54,1,49,2
"2024-01-14","BPN","Sepinggan",5501,5347,154,6732,6553,179,60,2,66,3
"2024-01-15","BPN","Sepinggan",5917,5744,173,7205,7042,163,67,1,67,1
"2024-01-16","BPN","Sepinggan",0,0,0,0,0,0,58,1,55,2
"2024-01-17","BPN","Sepinggan",4594,4241,353,3275,3147,128,45,3,40,2
"2024-01-18","BPN","Sepinggan",6036,6032,4,6273,6263,10,54,5,57,3
"2024-01-19","BPN","Sepinggan",6853,6678,175,6027,5854,173,63,3,63,2
"2024-01-20","BPN","Sepinggan",5675,5659,16,3447,3447,0,57,1,53,5
"2024-01-21","BPN","Sepinggan",5230,5066,164,2928,2928,0,45,2,48,1
"2024-01-22","BPN","Sepinggan",5676,5494,182,5795,5785,10,57,3,56,5
"2024-01-23","BPN","Sepinggan",5390,5388,2,5671,5671,0,58,2,57,3
"2024-01-24","BPN","Sepinggan",6608,6259,349,4051,4046,5,62,4,64,3
"2024-01-26","BPN","Sepinggan",5882,5728,154,5595,5419,176,62,2,59,2
"2024-01-27","BPN","Sepinggan",5184,5184,0,3959,3959,0,54,1,51,2
"2024-01-28","BPN","Sepinggan",6497,6328,169,4114,4114,0,55,4,56,2
"2024-01-29","BPN","Sepinggan",5602,5408,194,3193,3193,0,57,2,58,5
"2024-01-30","BPN","Sepinggan",4813,4813,0,5449,5449,0,56,1,54,2
"2024-01-31","BPN","Sepinggan",6585,6251,334,3844,3844,0,60,3,59,3
"2024-02-01","BPN","Sepinggan",5489,5489,0,2478,2478,0,55,3,56,3
"2024-02-02","BPN","Sepinggan",6299,6294,5,3200,3025,175,59,1,59,2
"2024-02-03","BPN","Sepinggan",3902,3902,0,1944,1944,0,56,1,53,2
"2024-02-04","BPN","Sepinggan",6883,6722,161,3750,3750,0,57,2,59,1
"2024-02-05","BPN","Sepinggan",6504,6399,105,3545,3544,1,65,2,64,6
"2024-02-06","BPN","Sepinggan",0,0,0,0,0,0,17,1,14,0
"2024-02-07","BPN","Sepinggan",4286,4123,163,2109,1789,320,69,4,67,4
"2024-02-08","BPN","Sepinggan",7941,7941,0,3109,3109,0,60,1,63,1
"2024-02-09","BPN","Sepinggan",0,0,0,0,0,0,35,2,35,0
"2024-02-10","BPN","Sepinggan",3753,3753,0,2558,2558,0,45,1,44,1
"2024-02-11","BPN","Sepinggan",4919,4919,0,5735,5735,0,55,1,56,2
"2024-02-12","BPN","Sepinggan",5270,5133,137,7209,7054,155,63,1,65,1
"2024-02-13","BPN","Sepinggan",0,0,0,0,0,0,42,2,38,2
"2024-02-14","BPN","Sepinggan",4277,3989,288,2058,2058,0,44,5,46,3
"2024-02-15","BPN","Sepinggan",5582,5579,3,5114,5110,4,45,2,51,1
"2024-02-16","BPN","Sepinggan",6134,5989,145,3022,2842,180,58,3,58,1
"2024-02-17","BPN","Sepinggan",2844,2844,0,3479,3479,0,47,1,46,2
"2024-02-18","BPN","Sepinggan",6977,6801,176,3533,3533,0,60,2,59,1
"2024-02-19","BPN","Sepinggan",6548,6381,167,6816,6716,100,61,2,63,3
"2024-02-20","BPN","Sepinggan",6068,6068,0,5607,5607,0,59,2,55,3
"2024-02-21","BPN","Sepinggan",6441,6126,315,5599,5382,217,53,3,53,2
"2024-02-22","BPN","Sepinggan",6951,6933,18,2570,2548,22,58,3,60,3
"2024-02-23","BPN","Sepinggan",7408,7248,160,6586,6408,178,62,4,62,3
"2024-02-24","BPN","Sepinggan",6441,6441,0,3545,3545,0,60,2,56,1
"2024-02-25","BPN","Sepinggan",7254,7086,168,3995,3995,0,64,2,63,1
"2024-02-26","BPN","Sepinggan",6946,6784,162,3599,3599,0,60,2,58,4
"2024-02-27","BPN","Sepinggan",6159,6159,0,6148,6146,2,57,2,60,3
"2024-02-28","BPN","Sepinggan",7507,7191,316,7522,7288,234,59,3,59,3
"2024-02-29","BPN","Sepinggan",7637,7637,0,2770,2770,0,66,2,64,2
"2024-03-01","BPN","Sepinggan",4238,4235,3,4448,4289,159,66,2,67,4
