"Tanggal","Penumpang.Berangkat"
2023-04-26,7538
2023-04-27,6954
2023-04-28,7420
2023-04-29,8118
2023-04-30,8970
2023-05-01,9472
2023-05-02,7850
2023-05-03,7657
2023-05-04,7515
2023-05-05,7646
2023-05-06,7336
2023-05-07,7525
2023-05-08,6769
2023-05-09,6509
2023-05-10,7562
2023-05-11,6471
2023-05-12,6810
2023-05-13,6686
2023-05-14,6932
2023-05-15,6952
2023-05-16,6071
2023-05-17,8257
2023-05-18,7842
2023-05-19,5854
2023-05-20,5879
2023-05-21,7127
2023-05-22,6446
2023-05-23,6292
2023-05-24,6786
2023-05-25,6979
2023-05-26,7588
2023-05-27,6390
2023-05-28,7530
2023-05-29,6593
2023-05-30,7177
2023-05-31,8949
2023-06-01,8128
2023-06-02,5582
2023-06-03,5132
2023-06-04,6595
2023-06-05,6304
2023-06-06,5984
2023-06-07,6616
2023-06-08,6899
2023-06-09,6989
2023-06-10,6830
2023-06-11,7631
2023-06-12,7022
2023-06-13,7091
2023-06-14,8598
2023-06-15,9241
2023-06-16,8803
2023-06-17,9322
2023-06-18,10038
2023-06-19,9265
2023-06-20,9051
2023-06-21,9895
2023-06-22,9556
2023-06-23,9250
2023-06-24,9446
2023-06-25,9704
2023-06-26,8872
2023-06-27,3673
2023-06-28,8940
2023-06-29,5570
2023-06-30,6883
2023-07-01,6791
2023-07-02,7998
2023-07-03,7496
2023-07-04,7273
2023-07-05,8557
2023-07-06,8148
2023-07-07,7973
2023-07-08,7397
2023-07-09,7762
2023-07-10,7674
2023-07-11,7265
2023-07-12,8403
2023-07-13,7763
2023-07-14,8054
2023-07-15,7800
2023-07-16,7758
2023-07-17,6046
2023-07-18,6562
2023-07-19,7811
2023-07-20,7045
2023-07-21,7294
2023-07-22,7001
2023-07-23,7560
2023-07-24,7610
2023-07-25,6927
2023-07-26,7188
2023-07-27,6824
2023-07-28,7521
2023-07-29,6204
2023-07-30,5918
2023-07-31,6013
2023-08-01,6121
2023-08-02,7177
2023-08-03,6217
2023-08-04,6922
2023-08-05,6672
2023-08-06,6539
2023-08-07,6457
2023-08-08,5438
2023-08-09,7027
2023-08-10,7257
2023-08-11,7154
2023-08-12,7083
2023-08-13,7122
2023-08-14,6481
2023-08-15,5898
2023-08-16,6762
2023-08-17,6139
2023-08-18,5795
